Time,CLASS,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,financial_distress
4,False,1.2357,0.32831,0.40531,0.76764,0.31878,0.083349,0.94264,0.42769,0.55207,0.37739,0.43692,40.143,0.59469,0.68156,3.1926,0.41527,3.5006,0.026115,0.010345,0.07386,1.7569,1.5695,0.53325,0.35357,1662.0,11.238,9.21,0.20345,0.051742,0.33329,5.5775,0.43417,0.87234,7.5,112.76,0.75142,0.087008,0.03402,0.10291,0.4891,1.2908,0.15363,1.2159,0.67126,0.14016,0.81002,0.68156,3010.5,0.59455,0.46675,10.973,0.46771,0.40934,163.74,0.071336,0.10235,0.31839,0.0,0.0,0.0,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,20.0,1.9105,3.0,7.0,False
14,True,0.95871,0.00041608,0.85176,0.30112,0.036069,-0.033676,0.40975,0.0013818,0.0028068,-0.010046,0.78191,0.74508,0.14824,5.7457,2.2484,0.11978,0.72523,0.022098,0.16076,0.027094,0.38511,1.4307,0.04079,0.81559,2.8944,14.04,-8.9417,0.18126,0.03617,0.33419,4.5735,1.1098,0.95753,0.75607,160.12,0.00053213,0.24399,0.073385,-0.22093,0.21047,2.0313,-0.71263,0.70434,0.0019769,-0.22717,0.0004885,5.7867,1031.2,5.5017,0.95921,12.84,0.17684,0.012283,849.22,-0.55356,0.39828,0.20354,-0.014457,-0.048012,0.2247,-1.5863,-7.5046,12.145,-20.229,28.286,30.023,11.0,34501.0,-32.209,11.9,13.871,1.0,29.0,91.7,66.12,214.5,21.0,20.5,8.6,20.0,-0.069883,22.0,40.0,True
12,True,1.058,-0.018372,0.92351,1.7247,0.056532,0.042165,0.77205,-0.010653,-0.24021,-0.058002,0.76903,0.67484,0.076485,1.7677,3.6138,0.032779,10.1,0.052963,0.048572,0.072865,2.2426,10.602,0.063673,0.72687,-150.27,13.615,40.902,-0.11301,0.19665,0.56118,7.951,0.32539,0.78706,10.787,99.619,-0.02389,0.15748,0.030709,0.1152,0.16268,2.1566,-6.1489,0.47016,-0.11294,0.55129,-0.019894,18.252,625.59,1.4655,0.93633,14.16,0.055738,0.10981,1104.7,-0.75457,0.15988,0.33937,-0.0044209,-0.0025634,0.0,-0.32511,-0.71099,-3.0659,-17.899,107.71,38.823,10.4,31839.0,-25.841,15.6,36.03,2.0,32.0,87.1,175.9,178.1,20.0,14.5,0.2,9.0,-0.47441,13.0,23.0,True
10,False,0.6882,0.048923,0.78387,0.55524,0.11173,-0.20659,0.50411,0.088111,0.22636,0.10831,0.45599,1.7099,0.21613,3.6268,1.9191,0.20122,4.2967,0.032259,0.11768,0.048686,1.2177,3.1347,0.23367,0.66258,569.19,13.679,-2.6876,0.071141,0.12129,0.33401,5.2533,0.60156,0.84527,5.6068,187.59,0.10729,0.56118,0.058098,0.38435,0.17713,2.569,-0.21173,1.2202,0.2762,-0.95585,0.062412,3.6268,2514.6,3.0656,0.76633,13.091,0.23336,0.12974,1718.0,-0.1184,0.09903,0.0040015,-0.0068601,-0.012355,0.08934,3.0621,3.9554,-0.53449,-9.302,11.207,20.132,12.3,13568.0,14.529,21.5,33.768,2.0,30.0,100.0,100.0,100.0,17.125,14.5,-7.0,29.0,1.2602,20.0,44.0,False
7,True,1.1109,0.11228,0.83831,0.70464,0.17269,0.090613,0.66864,0.15935,0.69443,0.12362,0.90751,3.7907,0.16169,5.1847,1.4162,0.24507,1.4086,0.0054524,0.06465,0.0066744,0.77645,13.012,0.32751,0.8169,3244.1,13.105,7.7764,0.37114,0.02141,0.54621,1.4001,0.77516,0.97446,2.0945,254.21,0.12373,0.13242,0.0077378,-0.044,0.054155,4.358,-0.067216,2.9857,2.0733,0.56042,0.13394,5.1916,4671.5,5.0523,0.67249,12.754,0.2561,0.23078,896.62,-0.034777,0.33642,-0.033572,0.0,0.0,0.20705,-0.075348,-0.23637,-3.0266,5.7748,-20.982,28.184,10.4,9667.3,4.7909,25.4,41.598,0.0,28.0,79.951,66.12,59.471,18.0,12.0,-13.4,22.0,3.5715,6.0,18.0,True
2,False,1.9272,0.18505,0.35248,0.81307,0.22114,0.28483,0.95426,0.22759,0.28577,0.15323,0.59201,8.121,0.64752,0.54434,3.4075,0.27199,2.2535,0.04224,0.033492,0.13751,1.3734,2.6753,0.33993,0.30718,411.8,10.416,2.8545,0.61957,0.045295,0.29313,84.905,0.36052,0.87149,3.414,105.65,0.31257,0.069951,0.051951,0.59484,0.30392,1.2557,-0.14363,2.1306,0.60887,0.43988,0.52499,0.54434,1441.0,0.47439,0.66007,10.209,0.29358,0.27638,646.21,-0.077371,0.23816,0.5235,-0.025793,-0.031723,0.049985,7.3191,9.8637,10.637,18.471,94.741,27.445,12.133,8212.3,121.78,15.667,36.878,1.3333,36.0,99.871,29.897,28.83,16.667,16.0,0.33333,17.0,0.341,1.0,34.0,False
2,True,1.7805,-0.068908,0.63869,1.1501,-0.055884,0.37731,0.63999,-0.059914,-0.19072,0.0082406,0.86076,-3.6646,0.36131,1.7677,4.2294,-0.04859,1.7426,0.010182,0.013259,0.021062,1.3362,10.277,0.22454,0.48345,-226.56,13.139,3.0482,0.078121,0.15525,0.3094,18832.0,0.26901,0.75693,2.2472,85.119,-0.080055,0.42968,0.0088532,0.20539,0.11191,3.1832,-3.3022,3.2285,-0.61574,1.0443,-0.10789,1.8175,1187.9,1.3381,0.77546,10.098,-0.038666,0.25825,174.71,0.04753,0.51182,0.22881,-0.00028416,-0.00024707,0.0,7.4166,7.105,14.321,18.77,28.286,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,12.0,0.027094,13.0,21.0,True
6,True,1.1191,-0.049381,0.84145,0.24479,-0.04497,0.079497,1.0269,-0.20173,-0.31146,-0.044588,0.74697,-3.8498,0.15855,5.3073,0.43838,-0.18371,6.004,0.014323,0.047719,0.021459,0.32771,1.1824,0.069628,0.66747,-255.38,15.864,3.0792,0.061323,0.17398,0.68545,2.9954,2.8002,0.79324,6.4534,821.21,-0.066109,1.0974,0.058513,-0.35247,0.20702,1.5439,-3.2992,0.76584,-0.23853,0.50141,-0.058685,5.3073,819.95,4.2099,0.93037,14.457,-0.092027,0.017044,683.31,0.04753,0.037932,0.043516,0.0,0.0,0.0,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2.0,29.0,66.262,52.74,49.206,15.5,12.0,-6.4,7.0,-0.23059,12.0,23.0,True
9,False,2.029,0.14901,0.41247,0.46013,0.21613,0.22378,1.5429,0.32384,0.25362,0.13086,0.44125,24.723,0.58753,0.70204,2.3147,0.46972,2.1569,0.020174,0.019,0.092769,1.0428,2.0145,0.58656,0.21747,362.65,15.641,2.0562,0.17382,0.195,0.33554,8.9423,0.72922,0.911095,5.217,155.53,0.3377,0.3319,0.043845,0.34274,0.22841,0.78316,0.69726,2.5722,0.65238,0.38089,0.36126,0.70323,1429.9,0.37014,0.41344,14.865,0.54789,0.26989,2540.6,0.25851,0.088199,-0.080637,-0.025963,-0.056426,0.22476,5.7265,8.4799,7.4959,2.3437,85.814,25.17,11.3,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,25.0,0.31848,7.0,47.0,False
1,True,1.0705,0.0062862,0.79027,0.31985,-0.0022915,0.021392,0.34992,0.019654,0.029973,0.0002467,0.32492,-0.30922,0.20973,3.7681,3.5667,-0.0071644,1.3731,0.0073536,0.023169,0.024227,0.98439,0.49396,0.12424,0.30353,34.659,12.259,14.952,0.18623,0.052712,0.10621,464.89,0.33207,0.911095,1.5679,100.93,0.019347,0.15748,0.022991,-0.15382,0.21753499999999998,1.5251,-0.23587,0.32389,0.0097081,0.102,0.0079544,3.7681,1156.3,1.4472,0.87576,11.119,0.16702,0.039738,125.54,-0.1337,0.20399,0.46992,-0.0098064,-0.03066,0.28378,4.088,9.7174,-1.3673,18.065,30.449,29.464,11.3,7958.3,0.1896,13.6,40.375,4.0,36.5,78.786,25.235,24.551,15.5,16.5,2.9,28.0,0.0013602,7.0,19.0,True
1,False,1.1972,0.078578,0.56323,0.41401,0.082631,0.10327,0.9258,0.1898,0.17991,0.054763,0.627,11.939,0.43677,1.2895,1.0321,0.19959,2.9413,0.031216,0.016717,0.059604,0.6603,1.5804,0.25703,0.52373,339.46,12.644,4.009,-0.029953,0.039492,0.48487,3.0391,1.1712,0.92988,3.9588,348.81,0.12532,0.090419,0.0754,-0.47691,0.26197,0.94789,-0.58307,1.6673,0.29996,0.23644,0.13951,1.2895,1886.8,1.1991,0.74297,11.762,0.24783,0.10641,247.24,-0.4115,0.10458,0.0073074,-0.012116,-0.029264,0.16122,4.088,9.7174,-1.3673,18.065,30.449,29.464,11.3,7958.3,0.1896,13.6,40.375,4.0,36.5,78.786,25.235,24.551,15.5,16.5,2.9,25.0,0.23658,7.0,17.0,False
2,True,0.91108,0.054107,0.86024,0.9145,0.19462,-0.070877,0.48475,0.059166,0.38715,0.041205,0.72623,4.1645,0.13976,6.1552,4.9652,0.21282,3.6253,0.090877,0.051103,0.11401,1.2593,4.2488,0.088465,0.7971,702.32,12.107,-12.903,0.40729,0.063138,0.3864,14.096,0.42252,0.9266,3.9771,72.505,0.074505,0.45176,0.099373,0.026333,0.21524,6.5434,-0.56536,0.64933,0.25139,-0.50713,0.062898,6.1552,1814.1,5.7034,0.91153,12.017,0.23306,0.080902,161.53,-0.39407,0.22994,0.45951,-0.0062636,-0.0068491,0.21676,7.2216,12.622,6.9538,18.171,64.716,28.766,12.467,8101.9,0.1896,15.733,49.177,2.6667,36.0,92.654,28.483,27.466,16.333,16.0,0.26667,19.0,0.53484,6.0,46.0,True
6,True,0.69852,0.0096467,0.81723,0.32241,-0.016894,-0.21093,0.51149,0.02992,0.052782,0.042597,0.48872,-0.22681,0.18277,4.4715,2.9061,-0.052398,3.1286,0.014727,0.23102,0.021049,0.65971,0.96812,0.006912,0.69965,73.3,12.337,-1.5285,0.12554,0.11758,0.35787,8.4135,1.11,0.85612,3.1504,123.88,0.019739,0.64334,0.045677,0.26541,0.33303,1.7641,-0.81862,0.5488,0.028967,-1.1541,0.011804,4.4715,1388.7,3.8281,0.99309,11.205,-0.011157,0.0022285,437.47,-0.69294,0.10234,-0.018641,-0.041653,-0.12919,0.0,6.3771,10.298,0.853,5.4036,2.9481,30.655,10.7,9324.5,-18.995,16.775,7.3151,2.5,29.5,64.648,50.688,47.61,15.5,12.5,-4.275,27.0,0.32367,18.0,33.0,True
9,False,1.0404,0.054412,0.85388,0.62558,0.077591,0.032627,0.98009,0.086979,0.37239,0.11873,0.83976,24935.0,0.14612,5.8439,21.812,0.12403,168.4,0.087138,0.0,0.10796,0.74495,4.9704,0.23856,0.80713,2185.8,12.68,19.174,0.11665,0.046754,0.346125,1.0368,1.2645,0.94525,221.16,16.505,0.064795,0.31998,0.13929,-0.041147,0.12586,4.2814,-0.07633,1.1609,0.43232,0.22329,0.063723,5.8439,5869.5,5.5239,0.76144,12.211,0.15507,0.14924,2116.2,-0.039679,0.0028286,0.18159,-0.0075024,-0.011993,0.22471,5.7265,8.4799,7.4959,2.3437,85.814,25.17,11.3,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,32.0,4.7695,8.0,20.0,False
2,False,1.4762,0.29282,0.71982,0.71235,0.31077,0.2243,0.989,0.41105,0.30261,0.046654,0.69529,7.5062,0.28018,2.5691,166.61,0.43626,1.896,0.0283745,0.05812,0.34809,1.0245,2.5825,0.48629,0.47098,1340.0,12.523,3.1759,0.41117,0.24883,0.46581,41.919,0.6539,0.65431,3.6909,2.1608,0.42114,0.8881,0.23014,0.25702,0.27584,2.5424,0.68737,1.0158,1.0616,0.80055,0.40679,2.5691,1282.2,1.681,0.51371,12.184,0.49369,0.34641,531.51,0.25578,0.193,0.0085356,-0.0039261,-0.0055114,0.0,7.4166,7.105,14.321,18.77,28.286,26.124,11.8,8322.8,0.1896,15.6,24.579,0.0,36.0,107.09,31.31,30.194,17.0,16.0,0.4,15.0,0.2135,1.0,18.0,False
6,False,0.986,0.0026266,0.58092,0.35226,0.014117,-0.0078019,0.2152,0.0074566,0.0062676,0.0047795,0.54958,0.50635,0.41908,1.3862,4.1621,0.040075,0.81809,0.025535,0.079145,0.045812,0.64096,0.80655,0.11648,0.55738,12.167,12.024,-45.15,0.090074,0.023544,0.11995,2.4377,0.34052,0.95947,0.92594,86.494,0.0047794,0.05618,0.072489,-0.21292,0.43675,0.84055,-0.93891,0.95955,0.0060141,-0.018617,0.0045215,1.3862,1941.2,1.33,0.88352,10.981,0.11103,0.041031,130.53,0.04753,0.38043,-0.095494,-0.0071902,-0.020412,0.0,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2.0,29.0,66.262,52.74,49.206,15.5,12.0,-6.4,28.0,0.022139,31.0,41.0,False
6,True,0.88193,-0.054682,0.80263,0.68124,0.024511,-0.08441,0.57063,-0.080268,-0.27706,-0.045339,0.63051,0.27242,0.19737,4.0667,12.943,0.03598,3.0775,0.046172,0.13208,0.064583,1.0805,2.2124,0.13549,0.71492,-442.83,11.484,-8.0706,0.043734,0.087714,0.40795,3.0536,0.59884,0.89072,3.5599,27.814,-0.086727,0.44442,0.067776,-0.029893,0.30791,3.4517,-1.9082,0.64098,-0.17759,-0.42769,-0.068128,4.1631,1598.3,3.6223,0.86451,11.1,0.089769,0.092303,337.77,0.04753,0.19137,-0.083803,0.0,0.0,0.0,6.7298,11.801,-0.1823,5.8267,2.6566,27.729,10.5,9357.4,-10.689,18.4,1.3677,2.0,29.0,66.262,52.74,49.206,15.5,12.0,-6.4,12.0,-0.36717,10.0,32.0,True
9,False,0.91555,0.037715,0.70503,0.93018,0.093151,-0.053745,0.44609,0.040546,0.12786,0.15715,0.58271,2.0203,0.29497,2.3902,3.3654,0.10014,2.6999,0.0044445,0.04957,0.0069832,1.5963,2.2643,0.13899,0.63645,418.63,12.716,-17.307,0.32484,0.068577,0.28391,4.4587,0.30522,0.90273,3.1357,106.97,0.064724,0.23249,0.0047781,0.25022,0.4108,3.1535,-0.35621,0.71803,0.091808,-0.18221,0.053494,2.3902,3274.1,2.1577,0.86101,12.644,0.11197,0.12928,462.31,-0.2167,0.29664,0.79071,-0.024114,-0.025924,0.2194,5.7265,8.4799,7.4959,2.3437,85.814,25.17,11.3,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,26.0,1.7443,10.0,37.0,False
4,True,1.1131,-0.015229,0.85888,0.80974,0.076037,0.091033,0.67546,-0.018807,-0.10791,-0.065316,0.89581,0.9949,0.14112,6.0862,1.6382,0.093904,2.0588,0.011601,0.094385,0.014415,0.90391,7.9828,0.12516,0.80478,-75.867,13.305,8.895,0.083774,0.054098,0.5436,7.0909,0.67133,0.93701,2.3533,219.75,-0.017,0.38335,0.014327,0.20337,0.10143,5.7379,0.72205,1.3912,-0.15013,0.64508,-0.017731,6.1114,703.04,5.7028,0.87484,13.094,0.1084,0.10135,413.74,0.565,0.34408,0.073356,3.66e-05,4.53e-05,0.0,5.1442,9.9099,2.0408,-1.4903,-21.907,34.285,11.5,9042.5,-18.748,10.4,47.429,4.0,33.0,54.806,39.8,38.377,17.167,16.0,5.6,22.0,-0.32539,11.0,52.0,True
1,False,0.10135,-0.012097,0.86694,0.017139,-0.004011,-0.31255,0.068549,-0.70579,-0.090911,-0.020678,0.670855,-0.47142,0.13306,6.5154,4.0532,-0.23403,1.5326,0.001733,0.49643,0.0049827,0.4862,0.04827,0.0081289,0.3478,-81.238,12.922,-0.054837,0.53408,0.052712,0.023841,6955.0,1.391,0.911095,1.5452,88.819,-0.34316,0.15748,0.10111,-0.2587,0.35507,0.12881,-0.55385,0.37474,-0.034068,0.28983000000000003,-0.013953,6.5154,893.6,2.6138,0.99187,12.797,0.12407,0.00013932,57.475,-0.21687,0.011092,0.35486,-0.0039157,-0.22847,0.0,5.6061,12.549,0.95145,17.969,32.57,29.776,13.15,7974.9,0.1896,14.7,50.926,4.0,36.25,82.112,26.152,25.327,15.75,16.25,1.55,28.0,-0.13887,30.0,41.0,False
3,True,1.092,0.065765,0.68679,1.1042,0.11548,0.059311,0.72106,0.059558,0.20997,0.052482,0.7038,1.6007,0.31321,2.1928,2.7361,0.10458,4.1109,0.025261,0.06533,0.039195,1.569,4.1277,0.21892,0.64449,276.83,10.83,18.617,0.17066,0.042326,0.46471,7.0281,0.42085,0.9384,5.2631,131.57,0.093443,0.13514,0.022876,0.89367,0.26752,3.5256,6.4989,1.1708,0.24584,0.18937,0.095757,2.1928,1318.4,2.0577,0.78108,10.929,0.12575,0.24174,416.25,0.76467,0.20981,0.08774,-0.0043553,-0.0039442,0.01716,5.8419,7.0702,8.8346,15.072,75.466,27.841,11.175,8499.5,5.0882,15.433,22.963,0.0,35.583,112.83,33.293,32.31,17.0,15.583,0.15,26.0,0.22092,7.0,13.0,True
11,False,1.6307,0.18623,0.54772,0.72819,0.27358,0.32085,1.1011,0.25575,0.41177,0.28018,0.82958,8.3125,0.45228,1.211,3.7455,0.37569,2.2426,0.024542,0.045196,0.04824,0.87778,4.36,0.44553,0.50873,1195.3,14.065,2.2696,0.41169,0.038984,0.56015,8.0261,0.76923,0.92882,4.0446,96.116,0.22449,0.086195,0.033702,0.30701,0.16702,1.61,0.26015,2.708,1.1151,0.7094,0.34002,1.2127,2902.8,1.1248,0.55447,13.748,0.38912,0.32443,2526.3,0.1151,0.18004,0.14634,0.0,0.0,0.2248,3.6373,5.7874,1.8883,-21.411,46.844,30.046,12.2,26059.0,3.8523,30.5,-10.665,0.0,28.0,91.5,130.5,132.4,20.0,14.5,-16.0,29.0,1.7982,17.0,37.0,False
9,True,0.92375,0.0019384,0.89374,0.80797,0.1091,-0.066135,0.25635,0.002399,0.018242,0.0025845,0.80124,0.98929,0.10626,1.7677,3.8135,0.13503,1.3267,0.0089995,0.13649,0.010376,1.0084,4.8601,0.20541,0.86738,20.29,11.593,-12.217,0.0044037,0.026362,0.22235,7.8806,0.27519,0.9705,1.6697,94.402,0.0024192,0.24809,0.011138,0.023825,0.16625,7.6038,-0.53846,0.63916,0.01166,-0.62239,0.0021688,8.7881,1112.3,1.4655,0.79459,11.38,0.16104,0.16597,530.52,-0.36842,0.48391,-0.1021,0.0,0.0,0.0,5.7265,8.4799,7.4959,2.3437,85.814,25.17,11.3,10601.0,38.855,12.4,10.131,4.0,27.0,93.883,82.3,74.497,16.5,13.0,0.6,12.0,0.027053,17.0,35.0,True
